fomula,homo,lumo,band gap,cosmoname,cosmodata
LiKCsCsGeClClClClII,-0.20073,-0.08214,0.11859,Acetonitrile,37.5000
LiKCsCsGeClIIIII,-0.204,-0.09513,0.10887,Benzene,2.2840
LiKCsCsGeFBrIIII,-0.1888,-0.07238,0.11642,Methylene chloride,9.0800
LiKCsCsGeFClBrBrII,-0.19227,-0.0607,0.13157,Methanol,32.6300
LiKCsCsGeFClClBrBrI,-0.20192,-0.07326,0.12866,Diethyl ether,4.3350
LiKCsCsGeFClClBrII,-0.18913,-0.07248,0.11665,Acetone,20.7000
LiKCsCsGeFFBrIII,-0.18117,-0.05065,0.13052,Benzene,2.2840
LiKCsCsGeFFClBrBrBr,-0.19195,-0.06028,0.13167,Acetonitrile,37.5000
LiKCsCsGeFFFBrBrBr,-0.18995,-0.03903,0.15092,Pyridine,12.3000
LiKCsCsGeFFFClII,-0.18134,-0.0445,0.13684,n-hexadecane,2.0600
LiKKKGeFClClClBrBr,-0.22317,-0.06782,0.15535,Acetonitrile,37.5000
LiKKKGeFClClClBrI,-0.2168,-0.07714,0.13966,Nitrobenzene,35.7000
LiKKKGeFClClClClCl,-0.2131,-0.06231,0.15079,Ethanol,24.3000
LiKKKGeFClClClII,-0.18893,-0.05008,0.13885,Benzene,2.2840
LiKKKGeFFBrBrBrI,-0.20183,-0.05213,0.1497,Pyridine,12.3000
LiKKKGeFFBrIII,-0.19135,-0.06874,0.12261,Diethyl ether,4.3350
LiKKKGeFFClClBrI,-0.21405,-0.06442,0.14963,Carbon tetrachloride,2.2380
LiKKKGeFFClClClBr,-0.20683,-0.04793,0.1589,Diethyl ether,4.3350
LiKKKGeFFClClII,-0.21502,-0.07357,0.14145,Nitrobenzene,35.7000
LiKKKGeFFClIII,-0.20007,-0.08505,0.11502,Carbon tetrachloride,2.2380
LiKKKGeFFFClClBr,-0.20863,-0.04081,0.16782,Acetonitrile,37.5000
LiKKKGeFFFFClBr,-0.21103,-0.04373,0.1673,Methylene chloride,9.0800
LiKKKGeFFFFFBr,-0.21754,-0.03287,0.18467,Carbon tetrachloride,2.2380
LiKKKGeFFFFFF,-0.21397,-0.02063,0.19334,Ethanol,24.3000
LiKKKGeFFFIII,-0.19665,-0.05403,0.14262,Chlorofom,4.8060
LiKKKPbBrBrBrIII,-0.20441,-0.06748,0.13693,Chlorofom,4.8060
LiKKKPbBrIIIII,-0.20378,-0.07129,0.13249,Chlorofom,4.8060
LiKKKPbClBrIIII,-0.21105,-0.07677,0.13428,Ethanol,24.3000
LiKKKPbClClBrBrBrBr,-0.217,-0.06315,0.15385,Acetonitrile,37.5000
LiKKKPbClClClClBrBr,-0.21928,-0.06192,0.15736,Ethanol,24.3000
